1000,12.4,13.5,11.5,13.0
1020,12.8,13.0,12.0,12.5
1040,12.1,13.6,11.4,13.2
1060,12.9,12.8,12.2,12.4
1080,12.0,13.7,11.3,13.3
1100,13.0,12.7,12.3,12.3
1120,11.9,13.8,11.2,13.4
1140,13.1,12.6,12.4,12.2
1160,11.8,13.9,11.1,13.5
1180,13.2,12.5,12.5,12.1
1200,11.7,14.0,11.0,13.6
1220,13.3,12.4,12.6,12.0
1240,11.6,14.1,10.9,13.7
1260,13.4,12.3,12.7,11.9
1280,11.5,14.2,10.8,13.8
1300,13.5,12.2,12.8,11.8
1320,11.4,14.3,10.7,13.9
1340,13.6,12.1,12.9,11.7
1360,11.3,14.4,10.6,14.0
1380,13.7,12.0,13.0,11.6
1400,11.2,14.5,10.5,14.1
1420,13.8,11.9,13.1,11.5
1440,11.1,14.6,10.4,14.2
1460,13.9,11.8,13.2,11.4
1480,11.0,14.7,10.3,14.3
1500,14.0,11.7,13.3,11.3
1520,10.9,14.8,10.2,14.4
1540,14.1,11.6,13.4,11.2
1560,10.8,14.9,10.1,14.5
1580,14.2,11.5,13.5,11.1
1600,10.7,15.0,10.0,14.6
1620,14.3,11.4,13.6,11.0
1640,10.6,15.1,9.9,14.7
1660,14.4,11.3,13.7,10.9
1680,10.5,15.2,9.8,14.8
1700,14.5,11.2,13.8,10.8
1720,10.4,15.3,9.7,14.9
1740,14.6,11.1,13.9,10.7
1760,10.3,15.4,9.6,15.0
1780,14.7,11.0,14.0,10.6
1800,10.2,15.5,9.5,15.1
1820,14.8,10.9,14.1,10.5
1840,10.1,15.6,9.4,15.2
1860,14.9,10.8,14.2,10.4
1880,10.0,15.7,9.3,15.3
1900,15.0,10.7,14.3,10.3
1920,9.9,15.8,9.2,15.4
1940,15.1,10.6,14.4,10.2
1960,9.8,15.9,9.1,15.5
1980,15.2,10.5,14.5,10.1
2000,9.7,16.0,9.0,15.6
2020,15.3,10.4,14.6,10.0
2040,12.5,13.2,11.8,12.8
2060,12.6,13.1,11.9,12.7
2080,12.4,13.3,11.7,12.9
2100,12.7,13.0,12.0,12.6
2120,12.3,13.4,11.6,13.0
2140,12.8,12.9,12.1,12.5
2160,12.2,13.5,11.5,13.1
2180,12.9,12.8,12.2,12.4
2200,12.1,13.6,11.4,13.2
2220,13.0,12.7,12.3,12.3
2240,12.0,13.7,11.3,13.3
2260,13.1,12.6,12.4,12.2
2280,11.9,13.8,11.2,13.4
2300,13.2,12.5,12.5,12.1
2320,11.8,13.9,11.1,13.5
2340,13.3,12.4,12.6,12.0
2360,11.7,14.0,11.0,13.6
2380,13.4,12.3,12.7,11.9
2400,11.6,14.1,10.9,13.7
2420,13.5,12.2,12.8,11.8
2440,11.5,14.2,10.8,13.8
2460,13.6,12.1,12.9,11.7
2480,11.4,14.3,10.7,13.9
2500,13.7,12.0,13.0,11.6
2520,11.3,14.4,10.6,14.0
2540,13.8,11.9,13.1,11.5
2560,11.2,14.5,10.5,14.1
2580,13.9,11.8,13.2,11.4
2600,11.1,14.6,10.4,14.2
2620,14.0,11.7,13.3,11.3
2640,11.0,14.7,10.3,14.3
2660,14.1,11.6,13.4,11.2
2680,10.9,14.8,10.2,14.4
2700,14.2,11.5,13.5,11.1
2720,10.8,14.9,10.1,14.5
2740,14.3,11.4,13.6,11.0
2760,10.7,15.0,10.0,14.6
2780,14.4,11.3,13.7,10.9
2800,10.6,15.1,9.9,14.7
2820,14.5,11.2,13.8,10.8
2840,10.5,15.2,9.8,14.8
2860,14.6,11.1,13.9,10.7
2880,10.4,15.3,9.7,14.9
2900,14.7,11.0,14.0,10.6
2920,10.3,15.4,9.6,15.0
2940,14.8,10.9,14.1,10.5
2960,10.2,15.5,9.5,15.1
2980,14.9,10.8,14.2,10.4
3000,10.1,15.6,9.4,15.2
3020,15.0,10.7,14.3,10.3
3040,10.0,15.7,9.3,15.3
3060,15.1,10.6,14.4,10.2
3080,9.9,15.8,9.2,15.4
3100,15.2,10.5,14.5,10.1
3120,9.8,15.9,9.1,15.5
3140,15.3,10.4,14.6,10.0
3160,9.7,16.0,9.0,15.6
3180,15.4,10.3,14.7,9.9
3200,9.6,16.1,8.9,15.7
3220,15.5,10.2,14.8,9.8
3240,12.4,13.3,11.7,12.9
3260,12.7,13.0,12.0,12.6
3280,12.3,13.4,11.6,13.0
3300,12.8,12.9,12.1,12.5
3320,12.2,13.5,11.5,13.1
3340,12.9,12.8,12.2,12.4
3360,12.1,13.6,11.4,13.2
3380,13.0,12.7,12.3,12.3
3400,12.0,13.7,11.3,13.3
3420,13.1,12.6,12.4,12.2
3440,11.9,13.8,11.2,13.4
3460,13.2,12.5,12.5,12.1
3480,11.8,13.9,11.1,13.5
3500,13.3,12.4,12.6,12.0
3520,11.7,14.0,11.0,13.6
3540,13.4,12.3,12.7,11.9
3560,11.6,14.1,10.9,13.7
3580,13.5,12.2,12.8,11.8
